



log entry:	2019-06-04 15:06:03
file|log_type|brute|jarvis|graham|chan
./data/data_00000016pts.txt|h|5|5|5|5
./data/data_00000016pts.txt|ops|1680|58|101|130
./data/data_00000016pts.txt|time|0.000027|0.000045|0.000006|0.000011
./data/data_00001000pts.txt|h|19|19|19|19
./data/data_00001000pts.txt|ops|498501000|3980|20019|7235
./data/data_00001000pts.txt|time|5.917939|0.000378|0.000303|0.000419
./data/data_00001000pts_forJarvisCircle.txt|h|981|979|979|979
./data/data_00001000pts_forJarvisCircle.txt|ops|498501000|3020|980979|979135
./data/data_00001000pts_forJarvisCircle.txt|time|5.298564|0.000306|0.014139|0.015023
./data/data_00010000pts.txt|h|0|25|25|25
./data/data_00010000pts.txt|ops|0|39974|260025|74701
./data/data_00010000pts.txt|time|0.000003|0.003737|0.003919|0.003826
./data/data_00100000pts.txt|h|0|32|32|32
./data/data_00100000pts.txt|ops|0|399967|3300032|787081
./data/data_00100000pts.txt|time|0.000003|0.043248|0.047031|0.039400
./data/data_01000000pts.txt|h|0|39|39|39
./data/data_01000000pts.txt|ops|0|3999960|40000039|8251292
./data/data_01000000pts.txt|time|0.000003|0.502699|0.639264|0.446002
./data/data_10000000pts.txt|h|0|43|43|43
./data/data_10000000pts.txt|ops|0|39999956|440000043|84841088
./data/data_10000000pts.txt|time|0.000003|6.534802|7.739181|6.466264
./data/data_10000003pts_ForJarvis.txt|h|0|3|3|3
./data/data_10000003pts_ForJarvis.txt|ops|0|40000008|40000015|62222054
./data/data_10000003pts_ForJarvis.txt|time|0.000003|7.116797|0.892684|4.075923




log entry:	2019-06-10 15:45:22
file|log_type|brute|jarvis|graham|chan
./data/data_00000016pts.txt|h|5|5|5|5
./data/data_00000016pts.txt|ops|1680|58|101|130
./data/data_00000016pts.txt|time|0.000033|0.000079|0.000007|0.000016
./data/data_00001000pts.txt|h|19|19|19|19
./data/data_00001000pts.txt|ops|498501000|3980|20019|7235
./data/data_00001000pts.txt|time|6.420375|0.000367|0.000295|0.000399
./data/data_00001000pts_forJarvisCircle.txt|h|981|979|979|979
./data/data_00001000pts_forJarvisCircle.txt|ops|498501000|3020|980979|979135
./data/data_00001000pts_forJarvisCircle.txt|time|5.143883|0.000343|0.014888|0.014993
./data/data_00010000pts.txt|h|0|25|25|25
./data/data_00010000pts.txt|ops|0|39974|260025|74701
./data/data_00010000pts.txt|time|0.000003|0.003807|0.003871|0.003990
./data/data_00100000pts.txt|h|0|32|32|32
./data/data_00100000pts.txt|ops|0|399967|3300032|787081
./data/data_00100000pts.txt|time|0.000002|0.045188|0.050856|0.042880
./data/data_01000000pts.txt|h|0|39|39|39
./data/data_01000000pts.txt|ops|0|3999960|40000039|8251292
./data/data_01000000pts.txt|time|0.000003|0.532455|0.702826|0.660913
./data/data_10000000pts.txt|h|0|43|43|43
